|||Sütunlar|||
Satırlar|||Konya(Akşehir)-1122|Konya(Doğanhisar)-1285|Konya(Güneysınır)-1933|
||||||
||||||
İpek Böcekçiliği Faaliyeti Yapan  Işletme Sayısı|Ölçüm bazında|2016|1.0|1.0|1.0|
İpek Böcekçiliği Faaliyeti Yapan Köy Sayısı|Ölçüm bazında|2016|1.0|1.0|1.0|
||||||
