ÝLÇE ADI;MAHALLE ADI;BÝREYSEL ARAZÝ ORTALAMASI
Seydiþehir;MADENLÝ;10 Dekar
Seydiþehir;MESUDÝYE;20 Dekar
Seydiþehir;MURADÝYE;50 Dekar
Seydiþehir;OÐLAKÇI;30 Dekar
Seydiþehir;ORTAKARAÖREN;40 Dekar
Seydiþehir;SARAYCIK;30 Dekar
Seydiþehir;SUSUZ;20 Dekar
Seydiþehir;TARAÞÇI;20 Dekar
Seydiþehir;TAÞAÐIL;150 Dekar
Seydiþehir;TEPECÝK;20 Dekar
Seydiþehir;TOL;60 Dekar
Seydiþehir;UFACIK;10 Dekar
Seydiþehir;YAYLACIK;25 Dekar
Seydiþehir;YENÝCE;0 Dekar
Taþkent;AFÞAR;5 Dekar
Taþkent;BALCILAR;15 Dekar
Taþkent;BOLAY;10 Dekar
Taþkent;ÇETMÝ;5 Dekar
Taþkent;KECÝMEN;20 Dekar
Taþkent;KONGUL;0 Dekar
Taþkent;SAZAK;20 Dekar
Taþkent;ILICAPINAR;7 Dekar
Tuzlukçu;KONARI;100 Dekar
Tuzlukçu;MEVLÜTLÜ;70 Dekar
Tuzlukçu;KORAÞI;50 Dekar
Tuzlukçu;ÇÖÐÜRLÜ;100 Dekar
Tuzlukçu;TURSUNLU;50 Dekar
Tuzlukçu;KUNDULLU;100 Dekar
Tuzlukçu;PAZARKAYA;70 Dekar
Tuzlukçu;SUBATAN;50 Dekar
Tuzlukçu;GÜRSU;50 Dekar
Tuzlukçu;ERDOÐDU;100 Dekar
Tuzlukçu;KÖKLÜCE;50 Dekar
Yalýhüyük;SARAY;10 Dekar
Yalýhüyük;ARASÖÐÜT;5 Dekar
Yunak;KUZÖREN;40 Dekar
Yunak;KOÇYAZI;300 Dekar
Yunak;TURGUT;700 Dekar
Yunak;PÝRÝBEYLÝ;300 Dekar
Yunak;SÜLÜKLÜ;70 Dekar
Yunak;ALTINÖZ;400 Dekar
Yunak;AYRITEPE;50 Dekar
Yunak;BEÞIÞIKLI;200 Dekar
Yunak;CEBRAÝL;50 Dekar
Yunak;ÇAYIRBAÞI;200 Dekar
Yunak;EÐRÝKUYU;200 Dekar
Yunak;HACIÖMEROÐLU;100 Dekar
Yunak;HATIRLI;100 Dekar
Yunak;HACIFAKILI;100 Dekar
Yunak;HARUNLAR;200 Dekar
Yunak;HURSUNLU;150 Dekar
Yunak;ÝMAMOÐLU;150 Dekar
Yunak;KARGALI;300 Dekar
Yunak;KARAYAYLA;250 Dekar
Yunak;KILLAR;100 Dekar
Yunak;KURTUÞAÐI;200 Dekar
Yunak;KUYUBAÞI;100 Dekar
Yunak;MEÞELÝK;300 Dekar
Yunak;ODABAÞI;70 Dekar
Yunak;ORTAKIÞLA;150 Dekar
Yunak;ÖZYAYLA;150 Dekar
Yunak;SERTLER;60 Dekar
Yunak;SEVÝNÇ;75 Dekar
Yunak;SIRAM;200 Dekar
Yunak;SÝNANLI;100 Dekar
Yunak;YAVAÞLI;100 Dekar
Yunak;YEÞÝLOBA;100 Dekar
Yunak;YEÞÝLYAYLA;200 Dekar
Yunak;YIÐAR;300 Dekar
Yunak;SARAY;500 Dekar
;;
