||2010|110464.0|56586.0|2877.0||97903.0||||||||||||78343.0|109780.0||||||||||5103.0|||2725.0||||||||||||||5103.0|5103.0|||10464.0|||||||||||||1068.0|||||||||||||3008.0||||||||||||
||2011|132660.0|172771.0|6695.0||119440.0||||||||||||16256.0|48163.0||||||||||2649.0|||1315.0||||||||||||||2649.0|2649.0|||7410.0|||||||||||||324.0|||||||||||||5360.0||||||||||||
||2012|142434.0|162207.0|6406.0||100649.0||||347.0||||||||17077.0|58359.0|46.0|420.0|||||140.0|||6250.0|||1699.0||||||||||||||6250.0|6250.0|||12757.0||||73.0|10249.0|56.0|||26.0||||3481.0|||||||||||||||||||||||||
||2013|87250.0|123686.0|15573.0||67870.0||||2.0||||||10.0|2.0|15069.0|36707.0||1996.0||||||||1012.0|||1500.0|10.0|||||||||||||1012.0|1012.0|||2974.0||||10.0|714.0||||||||11391.0|||||||||||||||||||||||||
||2014|81636.0|145694.0|15080.0||98711.0||||||||||||11912.0|33477.0||601.0||||||||495.0|||506.0|1160.0|||||||||||||495.0|495.0||||||2275.0||1206.0||||||||9243.0|||||||||||||||||||||||||
||2015|87466.0|149449.0|20963.0||105140.0||||||||||||12212.0|34977.0||401.0||||||||391.0|||506.0||||||||||||||391.0|391.0||||||2465.0||1084.0||||||||21929.0|||||||||||||||||||||||||
||2016|87614.0|148315.0|23817.0||102077.0||||||||||||13412.0|35777.0||351.0||||||||400.0|||506.0||||||||||||||400.0|400.0||||||2465.0||1100.0||||||||25229.0|||||||||||||||||||||||||
||2017|80088.0|165455.0|16007.0||81913.0||||||||||||16889.0|38406.0||300.0||||||||400.0|||380.0||||||||||||||400.0|400.0||||||2515.0||719.0||||||||25409.0|||||||||||||||||||||||||
||2018|82037.0|137706.0|10432.0||85802.0||||||||||||18215.0|37256.0||330.0||||||||4608.0|||455.0||||||||||||||4608.0|4608.0||||||2570.0||359.0||||||||25334.0|||||||||||||||||||||||||
||2019|71819.0|134802.0|8084.0||83777.0||||||||||||15374.0|33897.0||300.0||||||||3722.0|||400.0||||||||||||||3722.0|3722.0||||||2340.0||320.0||||||||24904.0|||||||||||||||||||||||||
||2020|82308.0|139232.0|6444.0||76876.0||||||||||||15206.0|34997.0||250.0||||||||4322.0|||375.0||||||||||||||4322.0|4322.0||||||2452.0||350.0||||||||25009.0|||||||||||||||||||||||||
||2021|87223.0|140366.0|5250.0||87540.0||||||||||||15084.0|33604.0||240.0||||||||4450.0|||350.0||||||||||||||4450.0|4450.0||||||2790.0||400.0||||||||18307.0|||||||||||||||||||||||||
|Kocaeli-41|2004||310780.0|75660.0||90990.0||133500.0|30.0|||||||1700.0||250.0||||||||||||960.0|||11690.0||||||1350.0||||580.0||170.0|||960.0||38740.0|||||11540.0|70.0||||||560.0|30150.0|||||||||||||||||||||||||
||2005|31030.0|264190.0|78210.0||96930.0||132990.0|30.0|||||90.0||2000.0||160.0||100.0||||||||||760.0|||11630.0||||||1230.0||||440.0||80.0|||760.0||42690.0|||||13740.0|70.0||||||580.0|38760.0|||||||||||||||||||||||||
||2006|22413.0|265853.0|60307.0||88150.0||97400.0||||||45.0||2615.0||170.0||||||||||||660.0|20.0||11122.0||||||841.0|250.0|||667.0||43.0|||660.0||53320.0|||||13890.0|160.0||||||490.0|23374.0|||||||||||||||||||||||||
||2007|19191.0|253439.0|71958.0||87531.0||101550.0||||||160.0||2947.0||239.0||||||||||||100.0|||8164.0|335.0|||||748.0|36.0|||1098.0||32.0|||100.0||71605.0|||||16120.0|335.0||||||970.0|44196.0|||||||||||||||||||||||||
||2008|15083.0|266891.0|82598.0||78101.0||99050.0||||||50.0||2662.0||190.0||||||||||||20.0|||8452.0|359.0|||||726.0|36.0|||525.0|||||20.0||70035.0|||||16890.0|547.0||||||864.0|40788.0|||||||||||||||||||||||||
||2009|14741.0|253390.0|86723.0||79482.0||96180.0||||||75.0||2670.0||241.0||||||||||||20.0|||8414.0|305.0|||||771.0|116.0|||156.0|||||20.0||68985.0|||||16510.0|601.0||||||825.0|37576.0|||||||||||||||||||||||||
||2010|15636.0|245906.0|79034.0||85809.0||97780.0||||||80.0||2490.0||292.0|||||||||||||||8600.0|272.0|||||622.0|110.0|||248.0|||||||71755.0|||||16500.0|600.0||||||860.0|37510.0|||||||||||||||||||||||||
||2011|14123.0|223679.0|62167.0||82559.0||91450.0||||||60.0||2267.0||344.0|||||||||||||||8525.0|288.0|||||485.0|111.0|||58.0|||||||82950.0|||||16750.0|640.0||||||1010.0|39765.0|||||||||||||||||||||||||
||2012|0.0|227249.0|47317.0||75828.0|0.0|85940.0||||||40.0||1569.0||250.0|||||||||||||0.0||6666.0|31.0|||||343.0|133.0|||52.0|||||||87948.0|||||20546.0|702.0||50410.0|18.0|239.0||1266.0|47964.0|||||||1196.0||||||||||||||||||
||2013||218971.0|46711.0||70328.0||58000.0||||||||1610.0||220.0|||||||||||||||5403.0|30.0|||||222.0|130.0||||||||||73945.0|||||26781.0|2527.0||57370.0|50.0|200.0||1183.0|48587.0|||||||2000.0||||||||||||||||||
||2014||218842.0|41496.0||73100.0||54008.0||||||||980.0||250.0|||||||||||||303.0||5338.0|30.0|||||199.0|130.0|||||||||||56691.0||||29979.0|1514.0||66386.0|50.0|150.0||1193.0|49665.0|||||||1000.0||18.0||||||||||||||||
||2015||224479.0|35029.0||76449.0||50536.0||||||||815.0||150.0|||||||||||||301.0||4536.0|30.0|||||141.0|90.0|||||||||||49291.0||||30786.0|1514.0||70395.0|40.0|150.0||1185.0|49915.0|||||||1000.0||15.0||||||||||||||||
||2016||225088.0|35920.0||77160.0||48940.0||||||740.0||780.0||100.0|||||||||||||301.0||4455.0|30.0|||||123.0|40.0|||||||||||43305.0|30.0|||30559.0|1599.0||68903.0|40.0|100.0||890.0|50560.0|||||||500.0||15.0||||||||||||||||
||2017||239337.0|24298.0||76912.0||70859.0||||||1600.0||700.0||150.0|||||||||||||||7910.0|30.0|||||101.0|40.0|||||||||||32845.0|230.0|||27783.0|1772.0||71038.0|34.0|100.0||842.0|55881.0|||130000.0||||12500.0||45.0||||||||||||||||
