||2010|177.0|175.0|627.0||173.0||||||||||||215.0|234.0||||||||||173.0|||65.0||||||||||||||292.0|111.0|||300.0|||||||||||||665.0||||||||||||200.0||||||||||||
||2011|240.0|247.0|633.0||278.0||||||||||||250.0|290.0||||||||||176.0|||65.0||||||||||||||297.0|110.0|||300.0|||||||||||||688.0||||||||||||150.0||||||||||||
||2012|240.0|275.0|523.0||251.0||||314.0||||||||196.0|212.0|109.0|150.0|||||71.0|||176.0|||51.0||||||||||||||298.0|110.0|||203.0||||1836.0|5005.0|2518.0|||7000.0||||730.0||||||||||||||||||||||||
||2013|236.0|251.0|820.0||280.0||||500.0||||||200.0|0.0|132.0|152.0||220.0||||||||229.0|||55.0|200.0|||||||||||||400.0|156.0|||750.0||||700.0|5000.0||||||||3000.0||||||||||||||||||||||||
||2014|86.0|74.0|604.0||52.0||||||||||||21.0|31.0||50.0||||||||176.0|||40.0|227.0|||||||||||||295.0|107.0||||||200.0||3595.0||||||||2978.0||||||||||||||||||||||||
||2015|346.0|322.0|807.0||368.0||||||||||||137.0|166.0||219.0||||||||210.0|||59.0||||||||||||||355.0|128.0||||||750.0||5000.0||||||||2930.0||||||||||||||||||||||||
||2016|145.0|101.0|793.0||69.0||||||||||||57.0|48.0||51.0||||||||238.0|||40.0||||||||||||||398.0|143.0||||||225.0||4178.0||||||||3227.0||||||||||||||||||||||||
||2017|336.0|281.0|774.0||321.0||||||||||||139.0|94.0||400.0||||||||283.0|||76.0||||||||||||||473.0|170.0||||||914.0||4216.0||||||||4206.0||||||||||||||||||||||||
||2018|261.0|215.0|805.0||195.0||||||||||||112.0|101.0||400.0||||||||270.0|||75.0||||||||||||||450.0|171.0||||||858.0||4482.0||||||||4210.0||||||||||||||||||||||||
||2019|312.0|219.0|712.0||239.0||||||||||||115.0|115.0||400.0||||||||270.0|||75.0||||||||||||||450.0|167.0||||||838.0||4000.0||||||||4671.0||||||||||||||||||||||||
||2020|298.0|246.0|621.0||241.0||||||||||||118.0|124.0||400.0||||||||267.0|||75.0||||||||||||||445.0|165.0||||||1110.0||4200.0||||||||5460.0||||||||||||||||||||||||
||2021|284.0|179.0|640.0||142.0||||||||||||65.0|75.0||450.0||||||||301.0|||80.0||||||||||||||502.0|186.0||||||854.0||4000.0||||||||5135.0||||||||||||||||||||||||
|Kocaeli-41|2004||246.0|410.0||234.0||228.0|100.0|||||||102.0||112.0||||||||||||31.0|||104.0||||||1813.0||||4517.0||65.0|||8.0||||||||||||||463.0|2391.0||||||||||||||||||||||||
||2005|238.0|272.0|479.0||232.0||207.0|100.0|||||278.0||189.0||188.0||100.0||||||||||34.0|||91.0||||||1890.0||||4477.0||125.0|||8.0||||||||||||||1166.0|2091.0||||||||||||||||||||||||
||2006|254.0|247.0|630.0||247.0||255.0||||||289.0||159.0||153.0||||||||||||55.0|100.0||114.0||||||1466.0|2424.0|||3198.0||70.0|||12.0||||||||||||||1051.0|2945.0||||||||||||||||||||||||
||2007|258.0|270.0|673.0||306.0||255.0||||||425.0||157.0||155.0||||||||||||40.0|||134.0|212.0|||||1769.0|1611.0|||3232.0||63.0|||50.0||||||||||||||614.0|2094.0||||||||||||||||||||||||
||2008|383.0|270.0|666.0||312.0||265.0||||||320.0||160.0||158.0||||||||||||50.0|||123.0|212.0|||||1741.0|1611.0|||3811.0|||||50.0||||||||||||||601.0|2384.0||||||||||||||||||||||||
||2009|229.0|218.0|683.0||230.0||258.0||||||307.0||148.0||133.0||||||||||||50.0|||140.0|197.0|||||1798.0|1466.0|||3135.0|||||50.0||||||||||||||633.0|2429.0||||||||||||||||||||||||
||2010|184.0|212.0|717.0||227.0||256.0||||||288.0||181.0||134.0|||||||||||||||155.0|221.0|||||1955.0|1473.0|||4464.0|||||||995.0|||||3896.0|1095.0||||||623.0|2778.0||||||||||||||||||||||||
||2011|206.0|209.0|664.0||225.0||261.0||||||283.0||183.0||134.0|||||||||||||||189.0|205.0|||||1920.0|1468.0|||2862.0|||||||914.0|||||936.0|1020.0||||||402.0|2683.0||||||||||||||||||||||||
||2012||231.0|543.0||273.0||251.0||||||250.0||147.0||120.0|||||||||||||||223.0|194.0|||||1726.0|1226.0|||3346.0|||||||694.0|||||741.0|788.0||712.0|1500.0|837.0||333.0|2715.0|||||||418.0|||||||||||||||||
||2013||332.0|707.0||298.0||308.0||||||||139.0||118.0|||||||||||||||230.0|200.0|||||2036.0|1223.0||||||||||821.0|||||1955.0|831.0||887.0|4000.0|835.0||326.0|2738.0|||||||500.0|||||||||||||||||
||2014||276.0|595.0||291.0||311.0||||||||152.0||140.0|||||||||||||257.0||230.0|200.0|||||2055.0|1215.0|||||||||||741.0||||1757.0|843.0||786.0|4000.0|800.0||1598.0|2696.0|||||||500.0||111.0|||||||||||||||
