||2010|19505.0|9899.0|1805.0||16953.0||||||||||||16810.0|25649.0||||||||||881.0|||177.0||||||||||||||1488.0|566.0|||3140.0|||||||||||||710.0|||||||||||||601.0||||||||||||
||2011|31888.0|42729.0|4240.0||33231.0||||||||||||4065.0|13956.0||||||||||467.0|||85.0||||||||||||||788.0|292.0|||2223.0|||||||||||||223.0|||||||||||||805.0||||||||||||
||2012|34144.0|44612.0|3351.0||25313.0||||109.0||||||||3345.0|12396.0|5.0|63.0|||||10.0|||1103.0|||86.0||||||||||||||1863.0|689.0|||2589.0||||134.0|51295.0|141.0|||182.0||||2542.0|||||||||||||||||||||||||
||2013|20626.0|30990.0|12765.0||19018.0||||1.0||||||2.0|0.0|1987.0|5585.0||439.0||||||||232.0|||83.0|2.0|||||||||||||405.0|158.0|||2231.0||||7.0|3570.0||||||||34173.0|||||||||||||||||||||||||
||2014|7056.0|10837.0|9111.0||5148.0||||||||||||252.0|1030.0||30.0||||||||87.0|||20.0|263.0|||||||||||||146.0|53.0||||||455.0||4336.0||||||||27530.0|||||||||||||||||||||||||
||2015|30289.0|48104.0|16908.0||38684.0||||||||||||1668.0|5796.0||88.0||||||||82.0|||30.0||||||||||||||139.0|50.0||||||1849.0||5420.0||||||||64260.0|||||||||||||||||||||||||
||2016|12666.0|14979.0|18898.0||7005.0||||||||||||763.0|1708.0||18.0||||||||95.0|||20.0||||||||||||||159.0|57.0||||||555.0||4596.0||||||||81421.0|||||||||||||||||||||||||
||2017|26941.0|46417.0|12389.0||26294.0||||||||||||2345.0|3628.0||120.0||||||||113.0|||29.0||||||||||||||189.0|68.0||||||2298.0||3031.0||||||||106882.0|||||||||||||||||||||||||
||2018|21377.0|29596.0|8402.0||16696.0||||||||||||2044.0|3753.0||132.0||||||||1244.0|||34.0||||||||||||||2073.0|788.0||||||2206.0||1609.0||||||||106660.0|||||||||||||||||||||||||
||2019|22382.0|29540.0|5755.0||19984.0||||||||||||1774.0|3892.0||120.0||||||||1005.0|||30.0||||||||||||||1675.0|620.0||||||1962.0||1280.0||||||||116320.0|||||||||||||||||||||||||
||2020|24556.0|34254.0|4003.0||18542.0||||||||||||1787.0|4355.0||100.0||||||||1153.0|||28.0||||||||||||||1922.0|711.0||||||2721.0||1470.0||||||||136542.0|||||||||||||||||||||||||
