|||Sütunlar||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|Konya(Akören)-1753|2015|2244.0|680.0|350.0|108.0|80.0|15.0|||233.0|0.0|468.0|40.0|0.0|101.0|8.0|0.0|5.0||||497.0|516.0|95.0|100.0|3.0|4.0|||4.0|20.0|3.0|0.0|0.0|4.0|40.0|130.0||||||||0.0|1800.0|2500.0|8300.0|350.0||||||0.0|4500.0|1750.0|2000.0|400.0|||
||2016|2250.0|700.0|360.0|98.0|78.0|14.0|||220.0|0.0|470.0|35.0|0.0|102.0|7.0|0.0|6.0||||500.0|510.0|85.0|115.0|3.0|4.0|||5.0|15.0|2.0|0.0|0.0|1.0|20.0|120.0||||||||0.0|2100.0|2600.0|8800.0|370.0||||||0.0|3800.0|2000.0|2100.0|380.0|||
||2017|2493.0|562.0|432.0|221.0|38.0|9.0|||251.0|0.0|509.0|63.0|0.0|181.0|5.0|0.0|5.0||||646.0|597.0|132.0|134.0|1.0|1.0|||6.0|20.0|4.0|0.0|0.0|1.0|15.0|130.0||||||||0.0|2280.0|4117.0|6389.0|173.0||||||0.0|1824.0|1288.0|1827.0|377.0|||
||2018|2664.0|662.0|636.0|179.0|57.0|5.0|||318.0|0.0|512.0|7.0|0.0|121.0|7.0|0.0|1.0||||679.0|654.0|176.0|109.0|1.0|3.0|||5.0|21.0|4.0|0.0|||10.0|135.0||||||||43.0|5395.0|2354.0|9902.0|175.0||||||79.0|1778.0|906.0|2237.0|464.0|||
||2019|2612.0|688.0|632.0|127.0|9.0|1.0|||316.0|0.0|570.0|80.0|0.0|151.0|1.0|0.0|0.0||||524.0|536.0|346.0|281.0|3.0|1.0|||3.0|20.0|3.0|0.0|||9.0|111.0||||||||56.0|3836.0|5596.0|8811.0|180.0||||||15.0|810.0|986.0|2223.0|317.0|||
||2020|2771.0|570.0|652.0|216.0|13.0|1.0|0.0|0.0|439.0|0.0|495.0|139.0|0.0|240.0|1.0|0.0|2.0|0.0|0.0|0.0|422.0|444.0|324.0|286.0|1.0|1.0|0.0|0.0|1.0|8.0|0.0|0.0|0.0|0.0|2.0|80.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|56.0|3010.0|4096.0|8994.0|200.0|0.0|0.0|0.0|0.0|0.0|15.0|600.0|943.0|2133.0|320.0|0.0|0.0|
||2021|2621.0|440.0|673.0|311.0|2.0|0.0|0.0|0.0|277.0|0.0|355.0|152.0|0.0|210.0|1.0|0.0|0.0|0.0|0.0|0.0|442.0|491.0|281.0|277.0|1.0|0.0|0.0|0.0|1.0|8.0|0.0|0.0|0.0|0.0|1.0|78.0|||0.0|0.0|0.0|0.0|0.0|75.0|3925.0|4038.0|12944.0|237.0|0.0|0.0|0.0|0.0|0.0|0.0|1364.0|865.0|2088.0|121.0|||
|Konya(Akşehir)-1122|2015|4450.0|3872.0|1320.0|1290.0|652.0|604.0|||142.0|0.0|2600.0|154.0|0.0|760.0|19.0|0.0|137.0||||2700.0|3486.0|1086.0|1420.0|126.0|132.0|||9.0|10.0|15.0|1.0|4.0|8.0|9.0|41.0|||980.0|470.0|385.0|1250.0|450.0|3285.0|3360.0|1890.0|7350.0|1780.0||||||300.0|630.0|310.0|680.0|180.0|||
||2016|4350.0|5685.0|1140.0|1664.0|615.0|950.0|||113.0|0.0|2590.0|144.0|0.0|660.0|9.0|0.0|96.0||||2945.0|3707.0|1077.0|1405.0|97.0|103.0|||7.0|6.0|8.0|1.0|4.0|3.0|6.0|18.0|||3100.0|247.0|370.0|1000.0|410.0|3349.0|2400.0|1860.0|7870.0|1694.0||||||325.0|511.0|305.0|835.0|124.0|||
||2017|11133.0|4185.0|2873.0|1309.0|179.0|67.0|||368.0|0.0|2873.0|115.0|0.0|1309.0|6.0|179.0|46.0||||3844.0|3737.0|1202.0|1168.0|62.0|60.0|||6.0|8.0|7.0|1.0|3.0|4.0|2.0|24.0|||62.0|1565.0|1622.0|4620.0|160.0|86.0|3709.0|3785.0|11180.0|370.0||||||0.0|218.0|680.0|1959.0|110.0|||
||2018|11625.0|4447.0|2632.0|1665.0|76.0|48.0|||242.0|0.0|3213.0|128.0|0.0|1628.0|7.0|54.0|35.0||||3252.0|3361.0|1075.0|1042.0|34.0|41.0|||7.0|9.0|8.0|2.0|4.0|5.0|8.0|26.0|||84.0|1165.0|1297.0|3574.0|180.0|291.0|4847.0|4712.0|11852.0|498.0||||||0.0|128.0|641.0|1769.0|112.0|||
||2019|11170.0|3947.0|2431.0|1365.0|61.0|44.0|||197.0|0.0|2713.0|229.0|0.0|1328.0|9.0|42.0|32.0||||2752.0|2861.0|875.0|942.0|18.0|34.0|||6.0|7.0|5.0|1.0|3.0|4.0|10.0|28.0|||124.0|784.0|898.0|2576.0|181.0|792.0|6347.0|5312.0|12151.0|835.0||||||30.0|132.0|648.0|1774.0|116.0|||
||2020|11176.0|4124.0|2150.0|1648.0|82.0|49.0|0.0|0.0|185.0|0.0|3299.0|102.0|0.0|1666.0|6.0|48.0|37.0|0.0|0.0|0.0|2161.0|3214.0|784.0|875.0|28.0|35.0|0.0|0.0|5.0|7.0|4.0|1.0|2.0|5.0|8.0|24.0|0.0|0.0|141.0|2088.0|2397.0|5253.0|348.0|778.0|12854.0|12784.0|25018.0|805.0|0.0|0.0|0.0|0.0|0.0|275.0|1314.0|771.0|2734.0|208.0|0.0|0.0|
||2021|10750.0|4018.0|1945.0|1722.0|70.0|35.0|0.0|0.0|180.0|0.0|3420.0|98.0|0.0|1651.0|5.0|10.0|30.0|0.0|0.0|0.0|2150.0|2990.0|770.0|902.0|25.0|29.0|0.0|0.0|5.0|8.0|3.0|1.0|3.0|6.0|9.0|26.0|||130.0|2477.0|2788.0|4875.0|333.0|751.0|13032.0|13975.0|25370.0|802.0|0.0|0.0|0.0|0.0|0.0|255.0|1774.0|751.0|2488.0|199.0|||
|Konya(Altınekin)-1760|2015|565.0|1900.0|5000.0|1260.0|22.0|9.0|||38.0|0.0|130.0|95.0|0.0|1200.0|4.0|0.0|11.0||||155.0|470.0|600.0|650.0|8.0|13.0|||0.0|0.0|11.0|0.0|||10.0|80.0|||0.0|0.0|0.0|6500.0|210.0|800.0|9000.0|8000.0|38000.0|750.0||||||0.0|270.0|55.0|700.0|80.0|||
