|||Sütunlar|||||||||||||||||||||||||||||||
Satırlar|||Konya(Ahırlı)-1868|Konya(Akören)-1753|Konya(Akşehir)-1122|Konya(Altınekin)-1760|Konya(Beyşehir)-1188|Konya(Bozkır)-1207|Konya(Cihanbeyli)-1222|Konya(Derbent)-1907|Konya(Derebucak)-1789|Konya(Doğanhisar)-1285|Konya(Emirgazi)-1920|Konya(Ereğli)-1312|Konya(Güneysınır)-1933|Konya(Hadim)-1375|Konya(Halkapınar)-1937|Konya(Hüyük)-1804|Konya(Ilgın)-1400|Konya(Kadınhanı)-1422|Konya(Karapınar)-1441|Konya(Karatay)-1814|Konya(Kulu)-1491|Konya(Meram)-1827|Konya(Sarayönü)-1598|Konya(Selçuklu)-1839|Konya(Seydişehir)-1617|Konya(Taşkent)-1848|Konya(Tuzlukçu)-1990|Konya(Yalıhüyük)-1994|Konya(Yunak)-1735|Konya(Çeltik)-1902|Konya(Çumra)-1262|
||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||
||2020||350.0|176.0|8000.0|4000.0|1100.0|6000.0|1500.0|25.0|1250.0|800.0|15000.0|126.0||50.0|510.0|1000.0|8600.0|18500.0|30000.0||6100.0|10500.0|1300.0|12000.0|550.0|1750.0||5700.0|1700.0|15000.0|
||2021||400.0|132.0|7000.0|4000.0|1110.0|7500.0|1400.0|25.0|1100.0|1050.0|15000.0|140.0|10.0|75.0|187.0|1000.0|12000.0|15500.0|31710.0||5700.0|8000.0|2000.0|11000.0|600.0|1250.0||8500.0|2400.0|6500.0|
|Hasat Edilen Alan ve Birinci Ekiliş ve 01.19.10.20.00. (Mısır (Slaj)) - Dekar|2015||900.0|1750.0|3500.0|350.0||5000.0|1200.0|320.0|750.0|4500.0|60000.0|410.0||500.0||4200.0|6000.0|15000.0|15200.0|552.0|17500.0|6300.0|2500.0|11000.0||2700.0||1200.0|1170.0|13000.0|
||2016||1000.0|1750.0|2500.0|450.0||7000.0|1400.0|800.0|850.0|6500.0|60000.0|600.0||750.0||4200.0|2500.0|15000.0|15200.0|645.0|25000.0|8000.0|2500.0|12000.0||3800.0||1100.0|1200.0|13000.0|
||2017||1500.0|1850.0|2600.0|450.0||7000.0|1400.0|700.0|860.0|6500.0|75000.0|600.0||850.0||7500.0|4500.0|15000.0|15200.0|1820.0|18000.0|11300.0|2500.0|12000.0||4500.0||1220.0|2368.0|13000.0|
||2018||1500.0|3845.0|2600.0|450.0||7000.0|1400.0|700.0|840.0|4000.0|75000.0|770.0||1300.0||7500.0|7000.0|15000.0|15100.0|2100.0|25000.0|16000.0|700.0|13000.0||5550.0||1200.0|1000.0|20000.0|
||2019||1400.0|4841.0|3000.0|750.0||7000.0|1400.0|700.0|1200.0|5000.0|85000.0|800.0||2000.0|50.0|8500.0|8000.0|40000.0|28000.0|2927.0|27000.0|5500.0|2250.0|13000.0||6500.0||1200.0|4750.0|25000.0|
||2020||1650.0|4925.0|3250.0|1500.0||7000.0|1500.0|900.0|1100.0|4000.0|85000.0|530.0||2250.0||12500.0|8500.0|16000.0|22500.0|2550.0|31000.0|12000.0|3000.0|16000.0||6750.0||1000.0|5700.0|25000.0|
||2021||1650.0|1870.0|2200.0|1500.0||7000.0|1500.0|900.0|1300.0|2000.0|80000.0|650.0||2250.0||11000.0|7000.0|25000.0|10300.0|3299.0|32500.0|13000.0|1100.0|16000.0||8500.0||750.0|9100.0|15000.0|
|Hasat Edilen Alan ve İkinci Ekiliş ve 01.11.20.00.00. (Mısır) - Dekar|2015||||379.0|||947.0|||||||||||||1004.0||||142.0|||29.0|||||
||2016||||234.0|||780.0|||||3120.0||||||||827.0||||156.0|||16.0||780.0|||
||2017||||234.0|||935.0|||||935.0||||||||991.0||||468.0|||||720.0|||
||2018|||||||727.0|||||727.0||||||||771.0||||1091.0|||||556.0|||
||2019|||||||830.0|||||1245.0||||||||374.0||||906.0||||||||
||2020|||||||784.0|||||941.0||||||||||||157.0||||||||
||2021|||||||1000.0|||||1000.0||||||1100.0||1282.0||||200.0||||||||
|Hasat Edilen Alan ve İkinci Ekiliş ve 01.13.51.00.00. (Patates (Tatlı Patates Hariç)) - Dekar|2015||||||||||||||200.0||||||||||||||||||
||2016||||||||||||||178.0||||||||||||||||||
||2017||||||||||||||200.0||||||||||||||||||
||2018||||||||||||||220.0||||||||||||||||||
||2019||||||||||||||225.0||||||||||||||||||
||2020||||||||||||||220.0||||||||||||||||||
||2021||||||||||||||207.0||||||||||||||||||
|Hasat Edilen Alan ve İkinci Ekiliş ve 01.19.10.20.00. (Mısır (Slaj)) - Dekar|2015||100.0|5200.0|500.0|||1000.0||||4500.0|5000.0||||350.0|2400.0|2000.0|10000.0|6810.0||8500.0||1000.0||||70.0|||8500.0|
||2016||300.0|5300.0|380.0|||1000.0||||2000.0|8000.0||||450.0|2400.0|4000.0|10000.0|6810.0||10000.0||1000.0||||60.0|||8500.0|
||2017||200.0|4850.0|360.0|150.0||1000.0||||2000.0|23000.0||||500.0|2500.0|3500.0|10000.0|6810.0||7000.0||1000.0||||70.0|||8500.0|
