|||Sütunlar||||||||||||||||||||||||||||
Satırlar|||Konya(Akören)-1753|Konya(Akşehir)-1122|Konya(Altınekin)-1760|Konya(Beyşehir)-1188|Konya(Bozkır)-1207|Konya(Cihanbeyli)-1222|Konya(Derbent)-1907|Konya(Derebucak)-1789|Konya(Doğanhisar)-1285|Konya(Emirgazi)-1920|Konya(Ereğli)-1312|Konya(Güneysınır)-1933|Konya(Hadim)-1375|Konya(Halkapınar)-1937|Konya(Hüyük)-1804|Konya(Ilgın)-1400|Konya(Kadınhanı)-1422|Konya(Karapınar)-1441|Konya(Karatay)-1814|Konya(Kulu)-1491|Konya(Meram)-1827|Konya(Sarayönü)-1598|Konya(Selçuklu)-1839|Konya(Seydişehir)-1617|Konya(Tuzlukçu)-1990|Konya(Yunak)-1735|Konya(Çeltik)-1902|Konya(Çumra)-1262|
|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
|Ekilen Alan ve Sulu ve İkinci Ekiliş ve 01.11.81.00.00. (Soya Fasulyesi) - Dekar|2015|||||||||||||||||||65.0||||||||||
||2016|||||||||||||||||||71.0||||||||||
||2017|||||||||||||||||||65.0||||||||||
||2020||||||||||||||||100.0|||||||||||||
||2021||||||||||||||||100.0|||||||||||||
|Ekilen Alan ve Sulu ve İkinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Dekar|2015|||1900.0|||3000.0||||100.0|||||||400.0|2000.0|11100.0||||3000.0|||||4250.0|
||2016|100.0||1800.0|||3000.0|||||1500.0||||||400.0|2000.0|11100.0||||3000.0|||||3500.0|
||2017|100.0||1700.0|||3000.0|||||1500.0|||||||2000.0|11100.0||||3000.0|||||3500.0|
||2018|73.0|58.0|1820.0|||2730.0|||||1365.0||||||455.0|1820.0|10920.0||||2730.0|||||4550.0|
||2019|84.0|50.0|10080.0|||2520.0|||||1260.0||||||420.0|1680.0|5964.0||||1874.0|||||12600.0|
||2020|86.0||1075.0|||2580.0|||||1032.0|||||2580.0|387.0|11180.0|14448.0||||860.0|||||8600.0|
||2021|220.0||2300.0|||3000.0|||||2000.0|||||2500.0|460.0|18000.0|25000.0||||1860.0|||||20000.0|
|Ekilen Alan ve Sulu ve İkinci Ekiliş ve 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Dekar|2015|||50.0||||||||||||||||||||50.0||||||
||2016|||||||||||||||||||||||50.0||||||
||2017|||||||||||||||||||||||100.0||||||
||2018||33.0|||||||||||||||||||||100.0||||||
||2019||77.0|||||||||||||||||||||100.0||||||
||2021|||||||||||||||||120.0||||||100.0||||||
|Hasat Edilen Alan ve Kuru ve Birinci Ekiliş ve 01.11.81.00.00. (Soya Fasulyesi) - Dekar|2020||||||||||||||||||||100.0|||||||||
||2021|||||||||||||||||||||||||10.0||||
|Hasat Edilen Alan ve Kuru ve Birinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Dekar|2015|336.0|210.0|420.0|||840.0|||34.0|||154.0|||59.0|260.0|4200.0||2436.0|643.0||1136.0||||||1134.0|
||2016|540.0|180.0|99.0|||765.0|||36.0|||180.0||45.0|36.0|234.0|4500.0||2610.0|615.0||||||||1170.0|
||2017|360.0|158.0|99.0|||765.0|||32.0|||163.0|||32.0|234.0|13500.0||2610.0|150.0|||||68.0|||1170.0|
||2018|409.0||455.0|||773.0|||23.0|||500.0|27.0||30.0|637.0|15469.0||2275.0|273.0||||91.0||||1183.0|
||2019|128.0||427.0|||725.0|||137.0|||410.0|||21.0|3104.0|4267.0||939.0|90.0|43.0|||768.0||||1024.0|
||2020|213.0||140.0|||723.0|128.0|||||383.0|||19.0|4338.0|3953.0||1445.0|307.0||||||||1105.0|
||2021|250.0|125.0|600.0|||850.0|128.0|||||430.0||||8200.0|4800.0||2620.0|533.0|||||150.0|||1000.0|
