|||Sütunlar||||||||||||||||||||||||||||
Satırlar|||Konya(Akören)-1753|Konya(Akşehir)-1122|Konya(Altınekin)-1760|Konya(Beyşehir)-1188|Konya(Bozkır)-1207|Konya(Cihanbeyli)-1222|Konya(Derbent)-1907|Konya(Derebucak)-1789|Konya(Doğanhisar)-1285|Konya(Emirgazi)-1920|Konya(Ereğli)-1312|Konya(Güneysınır)-1933|Konya(Hadim)-1375|Konya(Halkapınar)-1937|Konya(Hüyük)-1804|Konya(Ilgın)-1400|Konya(Kadınhanı)-1422|Konya(Karapınar)-1441|Konya(Karatay)-1814|Konya(Kulu)-1491|Konya(Meram)-1827|Konya(Sarayönü)-1598|Konya(Selçuklu)-1839|Konya(Seydişehir)-1617|Konya(Tuzlukçu)-1990|Konya(Yunak)-1735|Konya(Çeltik)-1902|Konya(Çumra)-1262|
|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
||2017|53.0|147.0|37764.0||1.0|31690.0|||45.0|13.0|7042.0|16.0|||1.0|1831.0|25748.0|33098.0|67341.0|333.0|211.0|1965.0|8979.0|53.0|275.0|7394.0|4797.0|11268.0|
||2018|55.0|11.0|42313.0||1.0|27435.0||70.0|23.0|10.0|14923.0|164.0|||1.0|3349.0|27149.0|27881.0|76619.0|246.0|237.0|2169.0|8599.0|68.0|273.0|11648.0|4550.0|33196.0|
||2019|358.0|18.0|26880.0||1.0|25728.0||||37.0|6827.0|188.0||21.0|1.0|5595.0|32187.0|33809.0|90235.0|505.0|239.0|2756.0|10240.0|85.0|522.0|14925.0|3925.0|29013.0|
||2020|397.0|16.0|28923.0||2.0|26928.0|||1.0|97.0|2901.0|149.0||55.0|1.0|5073.0|31620.0|29376.0|84457.0|521.0|218.0|2067.0|9180.0|61.0|277.0|9520.0|6007.0|24118.0|
||2021|473.0|11.0|31950.0||3.0|29700.0||75.0|63.0|45.0|6000.0|420.0||61.0||5180.0|33600.0|33300.0|85100.0|606.0|308.0|4940.0|11250.0|113.0|483.0|12900.0|9500.0|32400.0|
|Üretim Miktarı ve Sulu ve Birinci Ekiliş ve 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Ton|2015|8.0||605.0||||||||6049.0|0.0||||3.0|202.0||68.0|||11.0|126.0|13.0|9.0||||
||2016|15.0||375.0||||||||6000.0|0.0||||3.0|160.0||41.0|153.0|||75.0|23.0|7.0||||
||2017|12.0||375.0||||||||7500.0|||||3.0|160.0||49.0|50.0|||75.0|26.0|100.0||||
||2018|12.0||||||||||7500.0|||||3.0|200.0||24.0|20.0|||45.0|32.0|60.0||||
||2019|11.0||||||||||9088.0|||30.0||4.0|242.0||22.0|24.0|||55.0|48.0|51.0||||
||2020|9.0||||||||||10500.0|||58.0||4.0|320.0||95.0|||150.0|40.0|14.0|123.0||||
||2021|9.0|||||||||111.0|17757.0|||62.0||4.0|2752.0||175.0|||345.0|276.0|24.0|89.0|||2072.0|
|Üretim Miktarı ve Sulu ve İkinci Ekiliş ve 01.11.81.00.00. (Soya Fasulyesi) - Ton|2015|||||||||||||||||||27.0||||||||||
||2016|||||||||||||||||||27.0||||||||||
||2017|||||||||||||||||||25.0||||||||||
||2020||||||||||||||||35.0|||||||||||||
||2021||||||||||||||||30.0|||||||||||||
|Üretim Miktarı ve Sulu ve İkinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Ton|2015|||570.0|||900.0||||30.0|||||||160.0|460.0|4440.0||||1200.0|||||1488.0|
||2016|12.0||540.0|||900.0|||||525.0||||||160.0|460.0|3996.0||||1140.0|||||1330.0|
||2017|12.0||510.0|||900.0|||||525.0|||||||460.0|3881.0||||1140.0|||||1330.0|
||2018|9.0|15.0|546.0|||819.0|||||478.0||||||182.0|419.0|3822.0||||1037.0|||||1729.0|
||2019|23.0|12.0|2743.0|||762.0|||||445.0||||||169.0|390.0|2104.0||||718.0|||||4446.0|
||2020|25.0||397.0|||816.0|||||381.0|||||544.0|155.0|2357.0|5179.0||||345.0|||||3173.0|
||2021|61.0||805.0|||900.0|||||700.0|||||500.0|129.0|5400.0|7750.0||||651.0|||||6000.0|
|Üretim Miktarı ve Sulu ve İkinci Ekiliş ve 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Ton|2015|||5.0||||||||||||||||||||13.0||||||
||2016|||||||||||||||||||||||8.0||||||
||2017|||||||||||||||||||||||15.0||||||
||2018||9.0|||||||||||||||||||||14.0||||||
||2019||19.0|||||||||||||||||||||14.0||||||
||2021|||||||||||||||||30.0||||||8.0||||||
|||||||||||||||||||||||||||||||
