||2010||||||||||||||||||||||||||||||||||||||||||||||||291.0||1030.0|21.0|775.0||||||||||||||||||||||||||||||||||
||2011|||||||||||||||8.0||8.0|||||||||||||||||||||||||||||||180.0||945.0|21.0|784.0||||||||||||||||||||||||||||||||||
||2012||||||||||||||||||||||||||||||||||||||||||||||||240.0||1434.0|21.0|1278.0||||||||||||||||||||||||||||||||||
||2013||||||||||||||||||||||||||||||||||||||||||||||||240.0||1456.0||1613.0||||||||||||||||||||||||||||||||||
||2014||||||||||||||||||||||||||||||||||||||||||||||||225.0||1153.0||1550.0||||||||||||||||||||||||||||||||||
||2015||||||||||||||||||||||||||||||||||||||||||||||||75.0||1169.0||1515.0||||||||||||||||||||||||||||||||||
||2016||||||||||||||||||||||||||||||||||||||||||||||||75.0||1431.0||840.0||||||||||||||||||||||||||||||||||
||2017||||||||||||||||||||||||||||||||||||||||||||||||80.0||1309.0||885.0||||||||||||||||||||||||||||232.0||||||
||2018||||||||||||||||||||||||||78.0||72.0||||||||||||||||||||80.0||1265.0||837.0||||||||||||||||||||||||||||200.0||||||
||2019||||||||||||||||||||||||||78.0||72.0||||||||||||||||||||80.0||1333.0||888.0||||||||||||||||||||||||||||188.0||||||
||2020||||||||||||||||||||||||||||||||||||||||||||||||80.0||1419.0||652.0||||||||||||||||||||||||||||175.0||||||
||2021|||||||||||||||||||||||||||||||||||33.0||||||||||||22.0|120.0||2144.0||841.0||||||||||||||||||||||||||||||||||
|Mersin-33|2004||||||372.0||||59144.0|200.0|800.0|750.0|||1500.0|720.0|5738.0||||||90.0|14.0|24380.0|9960.0|16470.0||204.0|||||||||||||||14.0||19146.0|48529.0||85747.0|11470.0|214818.0||545.0|||||1680.0||||||||||||||||83.0||14963.0|22450.0||16480.0|12946.0|2080.0|12445.0|||
||2005||||||||||91498.0||1200.0|1000.0|||1050.0|720.0|560.0||||||140.0|28.0|24780.0|9960.0|16600.0||926.0|||||||||||||||||12441.0|48353.0||55287.0|14990.0|226788.0||115.0|||||825.0|||||||||372.0|||||||355.0||15940.0|34120.0||13860.0|15428.0|3280.0|20163.0|||
||2006|750.0|||||||75.0||92408.0|105.0|||||900.0|120.0|1100.0||70.0||||90.0|99.0|24720.0|10095.0|16600.0||15.0|||||||||||||||||11808.0|47143.0||121933.0|16290.0|217528.0||65.0|||||968.0|||||1.0||||372.0|||||||300.0||16580.0|35640.0||11592.0|21121.0|3280.0|20180.0|||
||2007||||||||75.0||109508.0|150.0||||600.0||120.0|1100.0||105.0||||420.0|589.0|37400.0|14156.0|16840.0||30.0|||||||||||||||||22308.0|79343.0||76788.0|18330.0|225014.0||65.0|||||1780.0|||||1.0||||372.0|||||||560.0||10580.0|13020.0||8082.0|19981.0|320.0|20110.0|||
||2008||||||||83.0||115017.0|165.0||||||120.0|1130.0||105.0||||420.0|649.0|31800.0|12000.0|10940.0||30.0|||||||||||||||||24331.0|81453.0||81955.0|19201.0|228814.0||65.0|||||1841.0|||||11.0||||372.0|||||||4050.0||12199.0|14217.0||8442.0|24175.0|320.0|33363.0|||
||2009||||||||83.0||86801.0|4635.0||||||120.0|1130.0||105.0||||420.0|646.0|36248.0|14100.0|10820.0||33.0|||||||||||||||||24423.0|82162.0||81074.0|19415.0|233479.0||17165.0|||||2233.0|||||11.0||||414.0|||||||2250.0||12321.0|14443.0||8802.0|24300.0|1232.0|33183.0|||
||2010||||||||||86376.0|4230.0||||||120.0|710.0||105.0||||420.0|646.0|36488.0|14922.0|2745.0||33.0||||||||||||120.0|||||31119.0|82020.0||74331.0|15245.0|214567.0||17165.0|||||2226.0|||||11.0||||474.0|||||||2025.0||12314.0|14431.0||8802.0|23700.0|1232.0|31585.0|||
||2011||||||||||123060.0|11864.0||||||120.0|710.0|||||||646.0|39308.0|15340.0|2115.0||33.0|||||||||||||||||5779.0|81740.0||69435.0|17445.0|206894.0||17165.0|||||1008.0|||||11.0||||474.0|||||||1575.0||6391.0|106336.0||44982.0|34770.0|66232.0|32485.0|||
||2012||||||||||123060.0|11864.0||||||117.0|630.0|||||||646.0|38228.0|19400.0|2036.0||35.0||||||1000.0|||||||||||6553.0|82065.0||86023.0|26660.0|179336.0||49355.0|||||1020.0|||||11.0||||474.0|||||||1620.0||5000.0|104106.0||48006.0|23885.0|74001.0|295.0|||
||2013||||||||||107960.0|11224.0||||||117.0|593.0|||||||121.0|42158.0|18691.0|1993.0||5.0||||||1000.0|||||||||||12653.0|47415.0||75745.0|32208.0|179627.0||39177.0|||||1811.0|||||||||557.0||||||150.0|20.0||4616.0|136606.0||23340.0|16295.0|60553.0|160.0|||
||2014||||||||||114460.0|9624.0||||||118.0|570.0|||||||641.0|41680.0|18650.0|6578.0||34.0||||||1100.0||||||||325.0|100.0||12653.0|82690.0||89626.0|32108.0|278922.0||9665.0|||||1811.0|||||||||797.0||||||150.0|||4616.0|104106.0||43440.0|23885.0|64650.0|33795.0|||
||2015||||||||||127400.0|10400.0||||||117.0|706.0|||||||118.0|41750.0|18620.0|6440.0||12.0||||||1100.0||||||||390.0|200.0||8750.0|79218.0||89422.0|13905.0|271643.0||8490.0|||||2005.0|||||||||797.0|||||||||3835.0|110775.0||42720.0|41765.0|63232.0|25585.0|||
||2016||||||||||119600.0|8250.0||||||117.0|760.0|||||||118.0|52345.0|23256.0|5040.0||1665.0||||||1100.0||||||||450.0|250.0||6136.0|85658.0||90430.0|18600.0|273972.0||14126.0|||||1547.0|||||||||797.0|||||||||10750.0|114030.0||42360.0|56450.0|65312.0|38726.0|||
||2017||||||||||122460.0|9750.0||||||118.0|820.0|||||||81.0|60760.0|26865.0|39117.0||1715.0||||||1260.0||||||||450.0|250.0||7170.0|84797.0||111105.0|25415.0|300008.0||34530.0|||||1885.0|||||||||815.0|||||||||9200.0|113940.0||42000.0|66725.0|65312.0|90696.0|||
||2018||||||||||125060.0|9750.0|||||||790.0|||||||84.0|72518.0|17684.0|7909.0||1713.0||||||1400.0||||||||487.0|275.0||7170.0|84810.0||100475.0|27947.0|321039.0||34524.0|||||1885.0|||||||||150.0|||||||||10000.0|116124.0||42000.0|67525.0|65320.0|118437.0|||
||2019||||||||||138060.0|9750.0|||||||985.0|||||||88.0|78300.0|12462.0|8660.0||1713.0||||||2200.0||||||||488.0|305.0||7170.0|86830.0||94771.0|28562.0|332400.0||32004.0|||||1893.0|||||||||150.0|||||||||10800.0|117724.0||41400.0|56745.0|65820.0|93687.0|||
||2020||||||||||138060.0|10230.0|||||||963.0|||||||88.0|82060.0|14418.0|2883.0||1574.0||||||7500.0||||||||488.0|305.0||6170.0|20062.0||109175.0|24512.0|329760.0||24789.0|||||1673.0|||||||||150.0|||||||||10800.0|71224.0||7200.0|47988.0|20200.0|181019.0|||
||2021||||||||||138060.0|10230.0|||||||1168.0|||||||76.0|84398.0|13688.0|2410.0||1074.0||||||7500.0||||||||488.0|305.0||4170.0|276052.0||163875.0|21130.0|427430.0||26268.0|||||1373.0|||||||||150.0|||||||||10800.0|19424.0|||64956.0|280.0|178044.0|||
|Muğla-48|2004|7.0|1.0|3.0||||||||2040.0|20.0|480.0||190.0|1231.0|2450.0|225.0||||||||24000.0||69438.0||356.0||||13.0|25.0|4.0|||||||||930.0||40.0|368.0||7830.0|106.0|208841.0||14.0|||||||||||||||||||||||15.0|48.0||40.0|13030.0||1050.0|||
||2005||1.0|3.0||||||||2000.0|22.0|480.0||180.0|1037.0|2100.0|50.0||||||||24000.0||71061.0||369.0||||13.0|144.0|52.0|||||||||760.0||32.0|249.0||7534.0|106.0|222114.0||14.0|||||||||||||||||||||||15.0|48.0||48.0|12725.0|12.0|1225.0|||
||2006||1.0|3.0|||||||1250.0|2038.0||450.0||195.0|960.0|2450.0|51.0||||||||24000.0||71206.0||367.0||||113.0|25.0|44.0|||||||||720.0||20.0|317.0||7485.0|320.0|225058.0||14.0|||||||||||||||||||||60.0||15.0|46.0||30.0|12521.0|13.0|1225.0|||
||2007||6.0|6.0|||||||1500.0|2078.0||||210.0|13460.0||1035.0||||||||30000.0|1000.0|71164.0||350.0||||102.0|27.0|51.0|||||||||660.0||70.0|450.0||13463.0|505.0|257019.0||21.0|||||||||91.0||40.0||||||||||60.0||15.0|45.0||32.0|20.0|4260.0|225.0|||
||2008||6.0|6.0|||||||400.0|1768.0|||||12500.0||1050.0||||||||30000.0|1400.0|66228.0||3030.0||||108.0|30.0|54.0|||||||||720.0||20.0|485.0||12863.0|365.0|232668.0||14.0|||||||||91.0||40.0||||||||||60.0||15.0|90.0||72.0|40.0|4260.0|225.0|||
||2009||6.0|6.0|||||||4760.0|2318.0|||||12500.0||1050.0|||||30.0|||33000.0|1400.0|81133.0||5230.0||||101.0|30.0|54.0|||||||||750.0||80.0|560.0||18055.0|285.0|274239.0||14.0|||||||||84.0||40.0||||||||||60.0||15.0|90.0||72.0|40.0|4800.0|225.0|||
||2010||6.0|6.0|||||||4250.0|1928.0|||||12100.0||3050.0||||||||24050.0|1800.0|85139.0||5600.0||||18.0|52.0|800.0||||||||500.0|320.0||20.0|240.0||22603.0|2485.0|306917.0|||||||||||||||||||||||90.0||15.0|135.0||232.0|60.0|7500.0|275.0|||
||2011||6.0|6.0|||||||2890.0|310.0||||720.0|9675.0||4035.0||400.0||||||30000.0|2400.0|78314.0||5200.0||||18.0|52.0|2400.0||||||||150.0|320.0||12.0|336.0||28594.0|3019.0|349315.0|||||||||||||||||||||||72.0||15.0|135.0||245.0|68.0|7500.0|245.0|||
||2012||6.0|6.0|||||||2890.0|310.0||||720.0|11550.0||5035.0||600.0||||||28500.0|5200.0|75562.0||6000.0||||17.0|52.0|1600.0||||||||150.0|280.0|||124.0||26974.0|6140.0|357373.0|||||||||||||||||||||||30.0|||225.0||305.0|180.0|7931.0|225.0|||
||2013||6.0|6.0|||||||2975.0|275.0||||720.0|11000.0||5500.0||1000.0|||50.0|||27000.0|5670.0|78337.0||6400.0||||17.0|52.0|1680.0||||||||100.0|400.0|||129.0||25673.0|6900.0|381620.0|||||||||||||||||||||||18.0|||45.0||201.0|36.0|7931.0|35.0|||
||2014||6.0|6.0|||||||2890.0|250.0||||720.0|11250.0||5750.0||3680.0|||50.0|||11600.0|10350.0|77656.0||9206.0||||17.0|60.0|1200.0||||||||100.0|400.0|||121.0|6.0|18689.0|10588.0|383031.0|||||||||||||||||||||||18.0|||45.0||201.0|36.0|7979.0|35.0|||
||2015||6.0|6.0|||||||2890.0|250.0||||738.0|950.0||28500.0||1000.0|||50.0|||15600.0|7350.0|76489.0||6606.0||||17.0|60.0|1400.0||||||||150.0|520.0|||121.0|6.0|23494.0|8248.0|383609.0|||||||||||||||||||||||6.0|||27.0||200.0|20.0|7913.0|25.0|||
||2016||12.0|12.0|||||||2890.0|300.0||||738.0|950.0||27550.0||900.0|||50.0|||18950.0|7350.0|80703.0|275.0|6306.0||||18.0|358.0|1200.0||||||||100.0|400.0|||137.0|6.0|26370.0|8866.0|432646.0||275.0|||||||||||||||5.0||||||6.0|||36.0||218.0|50.0|8375.0|30.0|||
