||2010|578.0||791.0||||60.0||54.0|||||2783.0|1750.0||||||30.0||4.0|5408.0||22463.0|20184.0|31854.0|5307.0|242.0||6971.0|200.0|2239.0|22821.0|12514.0||270.0|1110.0|||||550.0||2424.0|3190.0|4350.0|5884.0|||||105.0|||
||2011|485.0||1028.0|||||||||||3198.0|1750.0||||||30.0||4.0|5738.0||32200.0|17320.0|26729.0|4295.0|233.0||5275.0|200.0|4620.0|13052.0|8087.0||288.0|595.0|||||358.0||2204.0|4676.0|3420.0|7025.0|||||105.0|||
||2012|207.0||1057.0|||||||||||2511.0|||||||30.0||4.0|7658.0||41542.0|30866.0|15401.0|4805.0|1720.0||9886.0|200.0|5024.0|30215.0|8869.0|220.0|343.0|5581.0||1.0|||360.0||4576.0|5363.0|2155.0|30626.0|||||107.0|||
||2013|364.0||1000.0|||||||||||3032.0|||||||30.0||4.0|9682.0||42569.0|29200.0|14552.0|6817.0|1063.0||11147.0|200.0|6289.0|30760.0|9321.0|219.0|299.0|4157.0||0.0|||348.0||5283.0|10414.0|2112.0|19583.0|||||36.0|||
||2014|380.0||1080.0|||||||||||3100.0|||||||30.0||4.0|9720.0||45866.0|27072.0|13822.0|6642.0|1069.0||11290.0|248.0|6138.0|30695.0|8846.0|213.0|142.0|3812.0||0.0|||348.0||4087.0|10683.0|2580.0|22883.0|||||36.0|||
||2015|390.0||1500.0|||||||||||3130.0|||||||33.0||5.0|9695.0||44646.0|26887.0|12032.0|6081.0|967.0||10350.0|250.0|6000.0|29555.0|9071.0|232.0|86.0|3285.0||0.0|||304.0||3871.0|11007.0|2153.0|25704.0|||||36.0|||
||2016|343.0||1450.0|||||||||||3067.0|||||||31.0||5.0|9685.0||42228.0|26153.0|11862.0|5811.0|920.0||10250.0|250.0|5959.0|29277.0|9677.0|240.0|88.0|3111.0||0.0|||292.0||4799.0|14048.0|2238.0|26595.0|||||36.0|||
||2017|346.0||1595.0|||||||||||3150.0|||||||30.0||5.0|9695.0||42956.0|26754.0|11972.0|5807.0|952.0||10577.0|250.0|6834.0|30603.0|10260.0|243.0|108.0|3154.0||1.0|||294.0||4879.0|20626.0|2238.0|28232.0|||||36.0|||
||2018|311.0||1595.0|||||||||||3150.0|||||||30.0||5.0|9720.0||42893.0|26753.0|12324.0|5732.0|983.0||10777.0|248.0|6834.0|30603.0|9771.0|245.0|103.0|3089.0||1.0|||294.0||4871.0|20726.0|2239.0|27855.0|||||36.0|||
||2019|241.0||1595.0|||||||||||3150.0|||||||30.0||5.0|10395.0||43043.0|26831.0|12541.0|5659.0|1336.0||11214.0|251.0|7268.0|30133.0|10997.0|242.0|29.0|3089.0||1.0|||294.0||4921.0|21530.0|2177.0|27888.0|||||36.0|||
