|||Sütunlar|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
||2011|500.0||||||||||||||||||91.0|141.0||50.0||72.0||89.0||63.0|40.0|52.0|40.0|45.0|||||||||||||||80.0|||||||||||||||||
||2012|500.0||||||||||||||||||125.0|136.0||82.0|80.0|72.0||117.0||67.0|40.0|76.0|70.0|52.0|||||||||||||||80.0|||||||||||||||||
||2013|488.0||||||||||||||||||114.0|130.0||89.0|70.0|66.0||132.0||63.0|38.0|70.0|70.0|51.0|||||||||||||||76.0|||||||||||||||||
||2014|493.0||||||||||||||||||112.0|117.0||87.0|80.0|77.0||0.0||53.0|38.0|65.0|70.0|31.0|||||||||||||||80.0|||||||||||||||||
||2015|740.0||||||||||||||||||113.0|121.0||90.0|80.0|76.0||178.0||59.0|38.0|68.0|70.0|62.0|||||||||||||||72.0|||||||||||||||||
||2016|450.0||||||||||||||||||111.0|113.0||84.0|67.0|75.0||147.0||59.0|36.0|76.0|70.0|66.0|||||||||||||||70.0|||||||||||||||||
||2017|1550.0||||||||||||||||||115.0|114.0||97.0|80.0|76.0||127.0||57.0|40.0|65.0|59.0|59.0|||||||||||||||62.0|||||||||||||||||
||2018|1554.0||||||||||||||||||115.0|114.0||97.0|80.0|76.0||141.0||57.0|40.0|65.0|59.0|59.0|||||||||||||||57.0|||||||||||||||||
||2019|1361.0||||||||||||||||||116.0|114.0||98.0|80.0|76.0|60.0|139.0||57.0|40.0|65.0|59.0|59.0|||||||||||||||45.0|||||||||||||||||
||2020|500.0||||||||||||||||||116.0|122.0||102.0|90.0|77.0|60.0|159.0||59.0|41.0|65.0|59.0|59.0|||||||||||||||80.0|||||||||||||||||
||2021|1078.0||||||||||||||||||114.0|121.0||96.0|90.0|76.0|59.0|153.0||59.0|41.0|60.0|56.0|59.0|||||||||||||||72.0|||||||||||||||||
